GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
datafile-app-server,org.onap.dcaegen2.services.datafile.controllers,ScheduleController,60,27,4,0,14,8,8,3,6,3
datafile-app-server,org.onap.dcaegen2.services.datafile.controllers,HeartbeatController,13,7,0,0,3,2,2,2,2,2
datafile-app-server,org.onap.dcaegen2.services.datafile.configuration,SwaggerConfig,62,0,0,0,17,0,4,0,4,0
datafile-app-server,org.onap.dcaegen2.services.datafile.configuration,AppConfig,188,308,52,0,0,76,52,4,26,4
datafile-app-server,org.onap.dcaegen2.services.datafile.configuration,DatafileAppConfig,23,149,4,6,1,29,5,11,1,10
datafile-app-server,org.onap.dcaegen2.services.datafile.configuration,TomcatHttpConfig,0,34,0,0,0,9,0,3,0,3
datafile-app-server,org.onap.dcaegen2.services.datafile.exceptions,DmaapNotFoundException,0,4,0,0,0,2,0,1,0,1
datafile-app-server,org.onap.dcaegen2.services.datafile.exceptions,AAINotFoundException,0,4,0,0,0,2,0,1,0,1
datafile-app-server,org.onap.dcaegen2.services.datafile.exceptions,PrhTaskException,0,4,0,0,0,2,0,1,0,1
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,DmaapConsumerTask,0,3,0,0,0,1,0,1,0,1
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,ScheduledTasks,30,16,0,0,12,6,2,2,2,2
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,DmaapPublisherTaskImpl,14,65,0,2,2,14,2,9,2,8
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,DmaapConsumerTaskImpl,18,59,0,0,4,16,3,7,3,7
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,AAIProducerTaskImpl,14,71,0,0,1,17,2,8,2,8
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,AAIProducerTask,0,3,0,0,0,1,0,1,0,1
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,DmaapPublisherTask,0,3,0,0,0,1,0,1,0,1
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,AAIConsumerTaskImpl,29,49,0,0,4,12,3,6,3,6
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,AAIConsumerTask,0,3,0,0,0,1,0,1,0,1
datafile-app-server,org.onap.dcaegen2.services.datafile.tasks,Task,16,3,2,0,6,1,3,1,2,1
datafile-app-server,org.onap.dcaegen2.services.datafile.service,DmaapConsumerJsonParser,19,150,7,23,2,25,9,15,2,7
datafile-app-server,org.onap.dcaegen2.services.datafile,MainApp,5,7,0,0,2,2,1,2,1,2
